flow,month,commodity,unit,value,year
Value of Imports,2010 January,Total food and live animals (0),Euro Thousand,336700,2010
Value of Imports,2010 January,Beverages and tobacco (1),Euro Thousand,46800,2010
Value of Imports,2010 February,Total food and live animals (0),Euro Thousand,345500,2010
Value of Imports,2010 February,Beverages and tobacco (1),Euro Thousand,50600,2010
Value of Imports,2010 March,Total food and live animals (0),Euro Thousand,383900,2010
Value of Imports,2010 March,Beverages and tobacco (1),Euro Thousand,68900,2010
Value of Imports,2010 April,Total food and live animals (0),Euro Thousand,375600,2010
Value of Imports,2010 April,Beverages and tobacco (1),Euro Thousand,65300,2010
Value of Imports,2010 May,Total food and live animals (0),Euro Thousand,356700,2010
Value of Imports,2010 May,Beverages and tobacco (1),Euro Thousand,67000,2010
Value of Imports,2010 June,Total food and live animals (0),Euro Thousand,375600,2010
Value of Imports,2010 June,Beverages and tobacco (1),Euro Thousand,75800,2010
Value of Imports,2010 July,Total food and live animals (0),Euro Thousand,337200,2010
Value of Imports,2010 July,Beverages and tobacco (1),Euro Thousand,75200,2010
Value of Imports,2010 August,Total food and live animals (0),Euro Thousand,349600,2010
Value of Imports,2010 August,Beverages and tobacco (1),Euro Thousand,72700,2010
Value of Imports,2010 September,Total food and live animals (0),Euro Thousand,380800,2010
Value of Imports,2010 September,Beverages and tobacco (1),Euro Thousand,77700,2010
Value of Imports,2010 October,Total food and live animals (0),Euro Thousand,425800,2010
Value of Imports,2010 October,Beverages and tobacco (1),Euro Thousand,73900,2010
Value of Imports,2010 November,Total food and live animals (0),Euro Thousand,422800,2010
Value of Imports,2010 November,Beverages and tobacco (1),Euro Thousand,80700,2010
Value of Imports,2010 December,Total food and live animals (0),Euro Thousand,488400,2010
Value of Imports,2010 December,Beverages and tobacco (1),Euro Thousand,66900,2010
Value of Imports,2011 January,Total food and live animals (0),Euro Thousand,472900,2011
Value of Imports,2011 January,Beverages and tobacco (1),Euro Thousand,49000,2011
Value of Imports,2011 February,Total food and live animals (0),Euro Thousand,394800,2011
Value of Imports,2011 February,Beverages and tobacco (1),Euro Thousand,52400,2011
Value of Imports,2011 March,Total food and live animals (0),Euro Thousand,440600,2011
Value of Imports,2011 March,Beverages and tobacco (1),Euro Thousand,68600,2011
Value of Imports,2011 April,Total food and live animals (0),Euro Thousand,389100,2011
Value of Imports,2011 April,Beverages and tobacco (1),Euro Thousand,63400,2011
Value of Imports,2011 May,Total food and live animals (0),Euro Thousand,404900,2011
Value of Imports,2011 May,Beverages and tobacco (1),Euro Thousand,67200,2011
Value of Imports,2011 June,Total food and live animals (0),Euro Thousand,414800,2011
Value of Imports,2011 June,Beverages and tobacco (1),Euro Thousand,70500,2011
Value of Imports,2011 July,Total food and live animals (0),Euro Thousand,359000,2011
Value of Imports,2011 July,Beverages and tobacco (1),Euro Thousand,65300,2011
Value of Imports,2011 August,Total food and live animals (0),Euro Thousand,384100,2011
Value of Imports,2011 August,Beverages and tobacco (1),Euro Thousand,71200,2011
Value of Imports,2011 September,Total food and live animals (0),Euro Thousand,429600,2011
Value of Imports,2011 September,Beverages and tobacco (1),Euro Thousand,71800,2011
Value of Imports,2011 October,Total food and live animals (0),Euro Thousand,428000,2011
Value of Imports,2011 October,Beverages and tobacco (1),Euro Thousand,71100,2011
Value of Imports,2011 November,Total food and live animals (0),Euro Thousand,453800,2011
Value of Imports,2011 November,Beverages and tobacco (1),Euro Thousand,81600,2011
Value of Imports,2011 December,Total food and live animals (0),Euro Thousand,447100,2011
Value of Imports,2011 December,Beverages and tobacco (1),Euro Thousand,74000,2011
Value of Imports,2012 January,Total food and live animals (0),Euro Thousand,440000,2012
Value of Imports,2012 January,Beverages and tobacco (1),Euro Thousand,50200,2012
Value of Imports,2012 February,Total food and live animals (0),Euro Thousand,409300,2012
Value of Imports,2012 February,Beverages and tobacco (1),Euro Thousand,50500,2012
Value of Imports,2012 March,Total food and live animals (0),Euro Thousand,449500,2012
Value of Imports,2012 March,Beverages and tobacco (1),Euro Thousand,74900,2012
Value of Imports,2012 April,Total food and live animals (0),Euro Thousand,420100,2012
Value of Imports,2012 April,Beverages and tobacco (1),Euro Thousand,65900,2012
Value of Imports,2012 May,Total food and live animals (0),Euro Thousand,459800,2012
Value of Imports,2012 May,Beverages and tobacco (1),Euro Thousand,69000,2012
Value of Imports,2012 June,Total food and live animals (0),Euro Thousand,444200,2012
Value of Imports,2012 June,Beverages and tobacco (1),Euro Thousand,65700,2012
Value of Imports,2012 July,Total food and live animals (0),Euro Thousand,435000,2012
Value of Imports,2012 July,Beverages and tobacco (1),Euro Thousand,68000,2012
Value of Imports,2012 August,Total food and live animals (0),Euro Thousand,477400,2012
Value of Imports,2012 August,Beverages and tobacco (1),Euro Thousand,77200,2012
Value of Imports,2012 September,Total food and live animals (0),Euro Thousand,484700,2012
Value of Imports,2012 September,Beverages and tobacco (1),Euro Thousand,79600,2012
Value of Imports,2012 October,Total food and live animals (0),Euro Thousand,559300,2012
Value of Imports,2012 October,Beverages and tobacco (1),Euro Thousand,101300,2012
Value of Imports,2012 November,Total food and live animals (0),Euro Thousand,537700,2012
Value of Imports,2012 November,Beverages and tobacco (1),Euro Thousand,88900,2012
Value of Imports,2012 December,Total food and live animals (0),Euro Thousand,472300,2012
Value of Imports,2012 December,Beverages and tobacco (1),Euro Thousand,70400,2012
Value of Imports,2013 January,Total food and live animals (0),Euro Thousand,485300,2013
Value of Imports,2013 January,Beverages and tobacco (1),Euro Thousand,45900,2013
Value of Imports,2013 February,Total food and live animals (0),Euro Thousand,476100,2013
Value of Imports,2013 February,Beverages and tobacco (1),Euro Thousand,50000,2013
Value of Imports,2013 March,Total food and live animals (0),Euro Thousand,520400,2013
Value of Imports,2013 March,Beverages and tobacco (1),Euro Thousand,64100,2013
Value of Imports,2013 April,Total food and live animals (0),Euro Thousand,496000,2013
Value of Imports,2013 April,Beverages and tobacco (1),Euro Thousand,64400,2013
Value of Imports,2013 May,Total food and live animals (0),Euro Thousand,535900,2013
Value of Imports,2013 May,Beverages and tobacco (1),Euro Thousand,67900,2013
Value of Imports,2013 June,Total food and live animals (0),Euro Thousand,491600,2013
Value of Imports,2013 June,Beverages and tobacco (1),Euro Thousand,58700,2013
Value of Imports,2013 July,Total food and live animals (0),Euro Thousand,488500,2013
Value of Imports,2013 July,Beverages and tobacco (1),Euro Thousand,74400,2013
Value of Imports,2013 August,Total food and live animals (0),Euro Thousand,457500,2013
Value of Imports,2013 August,Beverages and tobacco (1),Euro Thousand,71000,2013
Value of Imports,2013 September,Total food and live animals (0),Euro Thousand,463800,2013
Value of Imports,2013 September,Beverages and tobacco (1),Euro Thousand,86100,2013
Value of Imports,2013 October,Total food and live animals (0),Euro Thousand,514300,2013
Value of Imports,2013 October,Beverages and tobacco (1),Euro Thousand,91300,2013
Value of Imports,2013 November,Total food and live animals (0),Euro Thousand,557600,2013
Value of Imports,2013 November,Beverages and tobacco (1),Euro Thousand,71600,2013
Value of Imports,2013 December,Total food and live animals (0),Euro Thousand,545700,2013
Value of Imports,2013 December,Beverages and tobacco (1),Euro Thousand,77400,2013
Value of Imports,2014 January,Total food and live animals (0),Euro Thousand,528300,2014
Value of Imports,2014 January,Beverages and tobacco (1),Euro Thousand,42300,2014
Value of Imports,2014 February,Total food and live animals (0),Euro Thousand,473000,2014
Value of Imports,2014 February,Beverages and tobacco (1),Euro Thousand,56300,2014
Value of Imports,2014 March,Total food and live animals (0),Euro Thousand,503700,2014
Value of Imports,2014 March,Beverages and tobacco (1),Euro Thousand,65300,2014
Value of Imports,2014 April,Total food and live animals (0),Euro Thousand,509500,2014
Value of Imports,2014 April,Beverages and tobacco (1),Euro Thousand,63100,2014
Value of Imports,2014 May,Total food and live animals (0),Euro Thousand,521200,2014
Value of Imports,2014 May,Beverages and tobacco (1),Euro Thousand,67800,2014
Value of Imports,2014 June,Total food and live animals (0),Euro Thousand,508100,2014
Value of Imports,2014 June,Beverages and tobacco (1),Euro Thousand,71700,2014
Value of Imports,2014 July,Total food and live animals (0),Euro Thousand,493000,2014
Value of Imports,2014 July,Beverages and tobacco (1),Euro Thousand,73200,2014
Value of Imports,2014 August,Total food and live animals (0),Euro Thousand,481800,2014
Value of Imports,2014 August,Beverages and tobacco (1),Euro Thousand,68500,2014
Value of Imports,2014 September,Total food and live animals (0),Euro Thousand,477000,2014
Value of Imports,2014 September,Beverages and tobacco (1),Euro Thousand,94800,2014
Value of Imports,2014 October,Total food and live animals (0),Euro Thousand,564600,2014
Value of Imports,2014 October,Beverages and tobacco (1),Euro Thousand,87700,2014
Value of Imports,2014 November,Total food and live animals (0),Euro Thousand,551900,2014
Value of Imports,2014 November,Beverages and tobacco (1),Euro Thousand,70100,2014
Value of Imports,2014 December,Total food and live animals (0),Euro Thousand,577100,2014
Value of Imports,2014 December,Beverages and tobacco (1),Euro Thousand,75700,2014
Value of Imports,2015 January,Total food and live animals (0),Euro Thousand,524700,2015
Value of Imports,2015 January,Beverages and tobacco (1),Euro Thousand,47400,2015
Value of Imports,2015 February,Total food and live animals (0),Euro Thousand,501900,2015
Value of Imports,2015 February,Beverages and tobacco (1),Euro Thousand,53200,2015
Value of Imports,2015 March,Total food and live animals (0),Euro Thousand,573700,2015
Value of Imports,2015 March,Beverages and tobacco (1),Euro Thousand,66800,2015
Value of Imports,2015 April,Total food and live animals (0),Euro Thousand,479700,2015
Value of Imports,2015 April,Beverages and tobacco (1),Euro Thousand,67300,2015
Value of Imports,2015 May,Total food and live animals (0),Euro Thousand,537200,2015
Value of Imports,2015 May,Beverages and tobacco (1),Euro Thousand,71200,2015
Value of Imports,2015 June,Total food and live animals (0),Euro Thousand,539700,2015
Value of Imports,2015 June,Beverages and tobacco (1),Euro Thousand,82500,2015
Value of Imports,2015 July,Total food and live animals (0),Euro Thousand,514600,2015
Value of Imports,2015 July,Beverages and tobacco (1),Euro Thousand,82000,2015
Value of Imports,2015 August,Total food and live animals (0),Euro Thousand,536700,2015
Value of Imports,2015 August,Beverages and tobacco (1),Euro Thousand,74900,2015
Value of Imports,2015 September,Total food and live animals (0),Euro Thousand,561700,2015
Value of Imports,2015 September,Beverages and tobacco (1),Euro Thousand,90500,2015
Value of Imports,2015 October,Total food and live animals (0),Euro Thousand,612100,2015
Value of Imports,2015 October,Beverages and tobacco (1),Euro Thousand,82900,2015
Value of Imports,2015 November,Total food and live animals (0),Euro Thousand,587900,2015
Value of Imports,2015 November,Beverages and tobacco (1),Euro Thousand,78700,2015
Value of Imports,2015 December,Total food and live animals (0),Euro Thousand,716900,2015
Value of Imports,2015 December,Beverages and tobacco (1),Euro Thousand,78800,2015
Value of Imports,2016 January,Total food and live animals (0),Euro Thousand,528294,2016
Value of Imports,2016 January,Beverages and tobacco (1),Euro Thousand,57696,2016
Value of Imports,2016 February,Total food and live animals (0),Euro Thousand,524139,2016
Value of Imports,2016 February,Beverages and tobacco (1),Euro Thousand,66357,2016
Value of Imports,2016 March,Total food and live animals (0),Euro Thousand,576714,2016
Value of Imports,2016 March,Beverages and tobacco (1),Euro Thousand,81154,2016
Value of Imports,2016 April,Total food and live animals (0),Euro Thousand,526180,2016
Value of Imports,2016 April,Beverages and tobacco (1),Euro Thousand,70517,2016
Value of Imports,2016 May,Total food and live animals (0),Euro Thousand,545720,2016
Value of Imports,2016 May,Beverages and tobacco (1),Euro Thousand,77271,2016
Value of Imports,2016 June,Total food and live animals (0),Euro Thousand,544715,2016
Value of Imports,2016 June,Beverages and tobacco (1),Euro Thousand,80327,2016
Value of Imports,2016 July,Total food and live animals (0),Euro Thousand,518752,2016
Value of Imports,2016 July,Beverages and tobacco (1),Euro Thousand,68452,2016
Value of Imports,2016 August,Total food and live animals (0),Euro Thousand,536058,2016
Value of Imports,2016 August,Beverages and tobacco (1),Euro Thousand,84646,2016
Value of Imports,2016 September,Total food and live animals (0),Euro Thousand,540863,2016
Value of Imports,2016 September,Beverages and tobacco (1),Euro Thousand,95528,2016
Value of Imports,2016 October,Total food and live animals (0),Euro Thousand,557348,2016
Value of Imports,2016 October,Beverages and tobacco (1),Euro Thousand,77592,2016
Value of Imports,2016 November,Total food and live animals (0),Euro Thousand,615648,2016
Value of Imports,2016 November,Beverages and tobacco (1),Euro Thousand,79515,2016
Value of Imports,2016 December,Total food and live animals (0),Euro Thousand,666914,2016
Value of Imports,2016 December,Beverages and tobacco (1),Euro Thousand,75299,2016
Value of Imports,2017 January,Total food and live animals (0),Euro Thousand,566894,2017
Value of Imports,2017 January,Beverages and tobacco (1),Euro Thousand,54639,2017
Value of Imports,2017 February,Total food and live animals (0),Euro Thousand,548843,2017
Value of Imports,2017 February,Beverages and tobacco (1),Euro Thousand,51936,2017
Value of Imports,2017 March,Total food and live animals (0),Euro Thousand,598748,2017
Value of Imports,2017 March,Beverages and tobacco (1),Euro Thousand,75607,2017
Value of Imports,2017 April,Total food and live animals (0),Euro Thousand,556005,2017
Value of Imports,2017 April,Beverages and tobacco (1),Euro Thousand,66600,2017
Value of Imports,2017 May,Total food and live animals (0),Euro Thousand,619993,2017
Value of Imports,2017 May,Beverages and tobacco (1),Euro Thousand,81432,2017
Value of Imports,2017 June,Total food and live animals (0),Euro Thousand,589925,2017
Value of Imports,2017 June,Beverages and tobacco (1),Euro Thousand,74226,2017
Value of Imports,2017 July,Total food and live animals (0),Euro Thousand,565942,2017
Value of Imports,2017 July,Beverages and tobacco (1),Euro Thousand,76161,2017
Value of Imports,2017 August,Total food and live animals (0),Euro Thousand,573389,2017
Value of Imports,2017 August,Beverages and tobacco (1),Euro Thousand,86254,2017
Value of Imports,2017 September,Total food and live animals (0),Euro Thousand,602165,2017
Value of Imports,2017 September,Beverages and tobacco (1),Euro Thousand,102205,2017
Value of Imports,2017 October,Total food and live animals (0),Euro Thousand,652021,2017
Value of Imports,2017 October,Beverages and tobacco (1),Euro Thousand,88402,2017
Value of Imports,2017 November,Total food and live animals (0),Euro Thousand,659095,2017
Value of Imports,2017 November,Beverages and tobacco (1),Euro Thousand,85009,2017
Value of Imports,2017 December,Total food and live animals (0),Euro Thousand,642585,2017
Value of Imports,2017 December,Beverages and tobacco (1),Euro Thousand,65291,2017
Value of Imports,2018 January,Total food and live animals (0),Euro Thousand,620664,2018
Value of Imports,2018 January,Beverages and tobacco (1),Euro Thousand,51960,2018
Value of Imports,2018 February,Total food and live animals (0),Euro Thousand,570410,2018
Value of Imports,2018 February,Beverages and tobacco (1),Euro Thousand,49388,2018
Value of Imports,2018 March,Total food and live animals (0),Euro Thousand,629312,2018
Value of Imports,2018 March,Beverages and tobacco (1),Euro Thousand,68418,2018
Value of Imports,2018 April,Total food and live animals (0),Euro Thousand,603367,2018
Value of Imports,2018 April,Beverages and tobacco (1),Euro Thousand,66047,2018
Value of Imports,2018 May,Total food and live animals (0),Euro Thousand,680783,2018
Value of Imports,2018 May,Beverages and tobacco (1),Euro Thousand,71929,2018
Value of Imports,2018 June,Total food and live animals (0),Euro Thousand,625546,2018
Value of Imports,2018 June,Beverages and tobacco (1),Euro Thousand,80069,2018
Value of Imports,2018 July,Total food and live animals (0),Euro Thousand,619795,2018
Value of Imports,2018 July,Beverages and tobacco (1),Euro Thousand,84039,2018
Value of Imports,2018 August,Total food and live animals (0),Euro Thousand,693362,2018
Value of Imports,2018 August,Beverages and tobacco (1),Euro Thousand,83719,2018
Value of Imports,2018 September,Total food and live animals (0),Euro Thousand,644349,2018
Value of Imports,2018 September,Beverages and tobacco (1),Euro Thousand,93564,2018
Value of Imports,2018 October,Total food and live animals (0),Euro Thousand,775635,2018
Value of Imports,2018 October,Beverages and tobacco (1),Euro Thousand,94015,2018
Value of Imports,2018 November,Total food and live animals (0),Euro Thousand,727814,2018
Value of Imports,2018 November,Beverages and tobacco (1),Euro Thousand,87283,2018
Value of Imports,2018 December,Total food and live animals (0),Euro Thousand,653273,2018
Value of Imports,2018 December,Beverages and tobacco (1),Euro Thousand,76834,2018
Value of Imports,2019 January,Total food and live animals (0),Euro Thousand,636011,2019
Value of Imports,2019 January,Beverages and tobacco (1),Euro Thousand,61385,2019
Value of Imports,2019 February,Total food and live animals (0),Euro Thousand,638213,2019
